Subscribers,trf,age,gndr,tenure,age_dev,dev_man,device_os_name,is_dualsim,is_featurephone,is_smartphone,simcard_type,region,call_frq_l1m,call_frq_l3m,call_frq_l6m,call_dur_l1m,call_dur_l3m,call_dur_l6m,call_dur_avg_l1m,call_dur_avg_l3m,call_dur_avg_l6m,call_onnet_frq_l1m,call_onnet_frq_l3m,call_onnet_frq_l6m,call_onnet_dur_l1m,call_onnet_dur_l3m,call_onnet_dur_l6m,call_onnet_dur_avg_l1m,call_onnet_dur_avg_l3m,call_onnet_dur_avg_l6m,call_offnet_frq_l1m,call_offnet_frq_l3m,call_offnet_frq_l6m,call_offnet_dur_l1m,call_offnet_dur_l3m,call_offnet_dur_l6m,call_offnet_dur_avg_l1m,call_offnet_dur_avg_l3m,call_offnet_dur_avg_l6m,sms_frq_l1m,sms_frq_l3m,sms_frq_l6m,data_usg_l1m,data_usg_l3m,data_usg_l6m,data_usg_avg_l3m,total_mon_val_l1m,total_mon_val_l3m,total_mon_val_l6m,refill_total_l1m,refill_total_l3m,refill_total_l6m,refill_frq_l1m,refill_frq_l3m,refill_frq_l6m,roam_mon_val_l1m,roam_mon_val_l3m,roam_mon_val_l6m,callout_total_dur,callout_total_dur_l3m,quota_daily_pack,quota_monthly_pack,quota_serbest_pack,quota_gencol_pack,data_usg_daily_pack,data_usg_serbest_pack_main,data_usg_gencol_pack,data_usg_monthly_pack,data_usg_night_hours,data_usg_unlmt_pack,data_usg_weekly_pack,data_usg_night_hours_l3m,data_usg_unlmt_pack_l3m,dpi_facebook,dpi_facebook_messaging,dpi_facebook_voip,dpi_facebook_video,dpi_instagram,dpi_linkedin,dpi_tik_tok,dpi_twitter,dpi_whatsaap,dpi_whatsaap_messaging,dpi_whatsaap_voip,dpi_youtube,dpi_microsoft_teams_l1m,dpi_telegram_l1m,dpi_telegram_voip_l1m,data_pack_rev_l1m,data_pyg_rev_l1m,data_usg_rev_l1m,data_usg_rev_l3m,data_complete_rev_l6m,call_out_offnet_rev_l1m,call_out_onnet_rev_l1m,call_out_offnet_rev_l3m,call_out_onnet_rev_l3m,call_out_offnet_rev_l6m,call_out_onnet_rev_l6m,sms_onnnet_arpu_l3m,sms_offnet_arpu_l3m,sms_onnnet_arpu_l6m,sms_offnet_arpu_l6m,susp_day_count_6m,silentdaycount
sub11,Azercellim,33,M,1526,115,Apple,iOS,1,0,1,4G,BAKI,1578.95,4655.2002,9020.5996,133391.95,350000.19,657595.31,97.152,86.457001,83.834999,250.7,672.75,1340.9,12829.4,33805.398,66526.352,58.845497,57.787498,57.051502,327.75,1020.05,1948.1,51083,130981.55,235488.95,179.239,147.67151,139.01199,162.14999,568.09998,1106.3,55241.125,161540.55,220169.5,53846.852,74.669502,247.02,426.48898,92,253,446.20001,2.3,10.35,21.85,0,0,0,64135.5,167486,0,58880,0,0,0,0,0,49333.852,1466.25,0,0,10762.85,0,8029.2998,11.5,0,915.40002,13027.2,0,4479.25,0,0,0,423.20001,2072.3,0.85139239,0.21072483,0,34.5,0,34.5,149.5,212.75,6.7620001,1.61,22.424999,5.934,34.155003,8.4639997,0,0.115,0,0.115,0,0
sub12,Azercellim,28,M,226,226,Xiaomi,Android OS,1,0,1,4G,SHEKI,995.90002,3325.8,6138.7002,86156.852,301365.56,560505.38,99.486504,104.2015,105.0065,326.60001,1288,2288.5,30739.5,143379.7,257380.34,108.23801,128.01801,129.3405,263.35001,748.65002,1406.45,21764.9,58375.148,110264.3,95.047501,89.665504,90.160004,62.099998,309.35001,546.25,257.61148,14667.743,96543.961,4889.248,14.674,66.619499,183.59749,19.549999,66.550499,184.276,3.45,12.65,26.450001,0,0,0,52751.648,202731.2,0,0,0,0,0,0,0,0,0,257.60001,0,2030.9,2891.1001,14.95,0,0,0,0,0,0,0,0,0,0,135.7,0,0,0,0,0,0.57499999,27.715,97.864998,0.138,0.184,1.3800001,2.852,6.6930003,5.796,0.23,0,0.28749999,0,0,0
sub13,Azercellim,44,M,1437,287,Xiaomi,Android OS,1,0,1,4G,BILESUVAR,2420.75,7562.3999,14633.75,174605.66,512874.69,980274.94,82.949493,77.992996,77.038498,1072.95,3476.45,6908.0498,74878.797,239482.91,474196.75,80.258499,79.223495,78.935997,485.29999,1453.6,2443.75,40241.949,100004,162825.05,95.357994,79.120003,76.624496,66.699997,187.45,396.75,5403.1831,28297.729,61974.387,9432.5762,31.464001,113.528,244.444,34.5,115,253,1.15,9.1999998,19.549999,0,0,0,115496.8,339777.84,0,138,0,0,0,0,0,134.55,1171.85,0,0,5104.8501,0,1093.65,6.9000001,0,1554.8,164.45,1.15,0,6.9000001,0,9.1999998,156.39999,554.29999,0,5.1437116,0,2.3,0,2.3,21.85,56.349998,0,0,0,0,0.207,0.59799999,0,0,0,0.057500001,0,0
sub14,Azercellim,37,M,421,421,Xiaomi,Android OS,1,0,1,4G,ABSHERON,934.95001,3730.6001,7182.8999,60109.352,247439.75,471286.09,73.933502,76.279503,75.4515,281.75,1006.25,1941.2,18765.699,67365.852,127321.1,76.589996,76.992493,75.428497,334.64999,1415.65,2779.55,22456.051,99588.852,198986.8,77.165001,80.902496,82.328499,54.049999,186.3,332.35001,15782.323,49083.23,78732.789,16361.077,46.551998,138.69,249.0325,46,138,248.39999,2.3,8.0500002,13.8,0,0,0,41511.551,167706.8,0,11776,0,0,0,0,0,15781.45,364.54999,0,0,1500.75,0,83.949997,4.5999999,0,17.25,256.45001,0,5303.7998,0,0,0,240.35001,1424.85,0,0.016169023,0,17.25,0,17.25,51.75,69,0.207,0.23,0.34500003,0.23,1.656,0.78200001,0,0,0,0.057500001,0,0
sub15,Azercellim,45,M,1128,258,Samsung,Android OS,1,0,1,4G,ABSHERON,1482.35,4571.25,9246,144472.2,466088.09,998671.5,112.079,117.254,124.2115,630.20001,2196.5,4631.0498,91821.75,312087,717442.44,167.55499,163.392,178.158,399.04999,1192.55,2332.2,28879.949,85494.453,159061.09,83.225502,82.443504,78.429993,129.95,357.64999,685.40002,39885.484,99503.297,185491.13,33167.77,36.397499,155.65251,323.41452,29.9,156.39999,324.29999,2.3,6.9000001,13.8,0,0,8.0845003,120701.7,398341.59,0,0,0,0,0,0,0,34206.75,6357.2002,0,0,13877.05,0,7255.3501,18.4,0,3500.6001,1296.05,0,16404.75,0,0,2.3,734.84998,432.39999,2.93641,0.049948167,0,0,0,0,57.5,115,1.863,3.6340001,2.1389999,4.7839999,3.9330001,10.212,0,0,0,0.057500001,0,0
sub16,Azercellim,34,M,335,29,Samsung,Android OS,1,0,1,4G,SUMQAYIT,853.29999,3185.5,6918.3999,78480.602,286798.5,607065.44,105.7655,103.5345,100.9125,226.55,678.5,1463.95,32074.65,69836.047,144996.59,162.817,118.3695,113.896,239.2,1005.1,2191.8999,19152.1,107863.1,223134.5,92.080498,123.418,117.07,141.45,477.25,838.34998,30245.266,55420.984,159243.42,18473.662,82.627495,159.7925,320.79251,81.650002,154.675,321.42499,4.5999999,13.8,20.700001,0,0,0,51931.699,179386.2,0,35328,0,0,0,0,0,24357,5654.5498,0,0,10768.6,0,3408.6001,19.549999,555.45001,52.900002,4271.1001,0,1253.5,0,0,0,1983.75,1695.1,4.1730428,0.13187027,0,51.75,0,51.75,92,178.25,0.62100005,0.87400001,5.5890002,2.53,17.594999,6.6240001,0,1.2075,0,2.2425001,0,0
sub17,Azercellim,46,M,1619,78,Samsung,Android OS,1,0,1,4G,TERTER,16.1,219.64999,233.45,3519,16266.75,19905.35,251.35551,85.168999,98.060493,0,32.200001,32.200001,0,1503.05,1503.05,0,53.681999,53.681999,0,27.6,27.6,0,1606.55,1606.55,0,66.941498,66.941498,33.349998,209.3,225.39999,69,324.89798,324.89798,108.29933,3.2084999,23.252998,23.252998,5.75,27.6,27.6,1.15,6.9000001,6.9000001,0,0,0,0,3115.3501,0,138,0,0,0,0,0,69,16.1,0,0,101.2,0,4.5999999,0,0,0,0,0,1.15,0,0,1.15,19.549999,3.45,0.10665107,0,0,2.3,0,2.3,6.9000001,6.9000001,0,0,2.622,1.748,2.622,1.748,0.057500001,0.057500001,0.057500001,0.057500001,128.8,14.95
sub18,Serbest10,60,M,177,177,Samsung,Android OS,1,0,1,4G,BAKI,238.05,875.15002,1599.65,15696.35,60608.449,130526.15,75.831001,79.637497,93.839996,48.299999,163.3,227.7,3650.1001,10593.8,18628.85,86.905502,74.600502,94.081497,95.449997,451.95001,920,7058.7002,33313.199,80460.898,85.042496,84.766502,100.579,92,228.85001,462.29999,2448.925,5889.334,11472.411,1963.1113,25.495501,53.313999,99.336998,27.6,43.700001,102.35,2.3,5.75,12.65,0,0,0,10708.8,47411.051,0,0,0,0,0,2440.3,0,0,158.7,0,0,481.85001,0,25.299999,0,0,2.3,150.64999,0,2.3,0,0,5.75,29.9,361.10001,0,0,0,0,0,0,0,7.0149999,0.092,0,0.368,0.068999998,2.921,0.414,0.34500003,0.17250001,0.34500003,0.28749999,0,0
sub19,Azercellim,44,U,184,184,Xiaomi,Android OS,1,0,1,4G,SHEMKIR,1170.7,3417.8,6790.75,177124.16,451260,836420.31,173.99501,151.8345,141.64549,680.79999,1869.9,3975.55,142727.66,244930.45,473551.59,241.09749,150.6385,136.98801,146.05,611.79999,1075.25,11288.4,146562.91,255819.8,88.883499,275.49399,273.608,47.150002,123.05,293.25,5888.0342,16162.169,32699.502,5387.3896,28.75,86.434006,146.0385,28.75,57.5,144.89999,1.15,2.3,6.9000001,0,0,0,154016.05,391493.34,0,0,0,0,0,0,0,0,2142.45,0,0,3947.95,0,58.650002,1.15,0,0,1.15,0,1691.65,0,0,8.0500002,1866.45,579.59998,0,0,0,0,0,0,0.034499999,0.115,0,0,0,0.092,0.96599996,0.414,0,0.057500001,0,0.057500001,0,0
sub20,Azercellim,39,M,1113,27,Samsung,Proprietary,1,1,0,4G,BAKI,1373.1,4517.2002,7656.7002,82849.453,300910.16,542727.56,69.390999,76.601501,81.511993,331.20001,1155.75,1960.75,17718.051,80834.648,144733.25,61.525002,80.431,84.892998,699.20001,2170.05,3576.5,45564.148,148228.09,257463.16,74.945496,78.556496,82.788498,221.95,431.25,1038.45,2316.3416,12926.632,18352.207,4308.8774,29.5665,87.066498,144.5665,32.200001,89.699997,147.2,4.5999999,6.9000001,9.1999998,0,0,0,63398.352,229182.34,0,0,0,0,0,0,0,0,167.89999,0,0,3159.05,0,549.70001,3.45,0,23,62.099998,0,0,0,0,17.25,39.099998,33.349998,1.9143803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28749999,0,0.28749999,0,0
sub21,Azercellim,42,M,615,615,Xiaomi,Android OS,1,0,1,4G,BERDE,654.34998,2669.1499,5532.6499,48265.5,159739.59,397940.25,84.824005,68.827499,82.719498,388.70001,1685.9,3550.05,28103.699,94961.25,236919.55,83.145004,64.779503,76.750999,67.849998,239.2,481.85001,5899.5,20084.75,54073,99.992493,96.565498,129.05301,46,230,531.29999,9273.3818,21569.227,44558.027,7189.7427,34.5,109.25,224.25,34.5,109.25,224.25,2.3,6.9000001,13.8,0,0,0,34003.199,115046,0,1177.6,0,0,0,0,0,874,1283.4,0,0,2615.1001,0,1030.4,9.1999998,0,2109.1001,892.40002,0,0,0,0,17.25,3.45,190.89999,0,0.000638294,0,5.75,0,5.75,23,46,0,0,0,0,0.82800001,2.622,0,0,0,0,0,9.1999998
sub22,Azercellim,29,M,351,350,Samsung,Android OS,1,0,1,4G,ABSHERON,1638.75,4194.0498,8403.0498,254000.5,615723.81,1235970.5,178.25,168.8315,169.1535,962.54999,2439.1499,4894.3999,175554.41,430446.16,863048.56,209.737,202.94051,202.7795,311.64999,739.45001,1386.9,39765.852,92647.453,200183.95,146.74001,144.0835,165.991,192.05,661.25,1496.15,10795.118,24769.482,49445.355,8256.4941,28.945499,94.127495,205.4245,29.9,96.599998,208.14999,1.15,9.1999998,18.4,0,0,0,215320.25,523093.59,0,0,0,0,0,0,0,0,2029.75,0,0,4028.45,6515.8999,9.1999998,0,0,0,4.5999999,0,1.15,0,0,16.1,1.15,7907.3999,2.4585173,1.3917742,0,0,0,0,3.6800001,20.113501,0,0,0,0.046,9.7290001,15.226,0,0,0.23,0.23,0,0
sub23,Serbest10,39,M,1413,341,Samsung,Android OS,1,0,1,4G,BAKI,172.5,885.5,2003.3,12173.9,80473.547,175456.66,81.155502,104.51199,100.717,55.200001,369.14999,715.29999,3467.25,40197.102,75394,72.231499,125.2235,121.21,10.35,111.55,312.79999,480.70001,8093.7002,23503.699,53.405998,83.444,86.410995,75.900002,221.95,556.59998,259.81949,41247.98,201274.91,13749.327,3.5189998,59.788502,207.759,3.6800001,58.880001,207.575,3.45,10.35,32.200001,0,0,0,3947.95,48290.801,0,0,0,0,0,244.95,0,0,2.3,0,0,4734.5498,0,132.25,0,0,3.45,0,0,0,0,0,4.5999999,0,19.549999,0,3.2216244,0,0,0,0,28.75,133.62999,0.55199999,2.967,2.0469999,6.0029998,10.12,12.190001,0,0,0,0.057500001,0,0
sub24,Azercellim,49,F,641,240,Apple,iOS,1,0,1,4G,BAKI,777.40002,3193.55,7354.25,44721.199,173453.34,407568.06,66.1595,62.456501,63.732998,240.35001,943,2006.75,11662.15,47596.199,109346.6,55.798,58.040501,62.663502,127.65,665.84998,1967.65,9104.5498,38562.949,106614.2,82.017998,66.608002,62.306999,112.7,271.39999,579.59998,15442.132,93085.797,153009.98,31028.6,46.793499,164.2085,306.1875,46,136.85001,309.35001,2.3,6.9000001,14.95,0,0,0,20990.949,86767.5,0,11776,0,0,0,0,0,10850.25,637.09998,0,0,11337.85,0,3333.8501,19.549999,0,111.55,3424.7,0,1306.4,4.5999999,0,10.35,746.34998,204.7,0.51141298,80.44725,2.3216264,17.25,0,17.25,74.75,126.5,0.138,0.322,0.69000006,1.3800001,1.311,3.22,0,0.115,0,0.17250001,0,0
sub25,Azercellim,37,M,1008,90,Samsung,Android OS,1,0,1,4G,ABSHERON,534.75,1846.9,3496,73148.047,257064.09,522823.34,157.30849,160.0685,171.9825,213.89999,886.65002,1968.8,40736.449,165006.59,377753.16,219.0175,214.015,220.6505,238.05,698.04999,1084.45,27893.25,75290.5,116485.8,134.7455,124.039,123.52151,42.549999,181.7,295.54999,421.54401,1366.1885,3197.0691,455.39618,15.4445,48.921001,91.022499,11.5,50.599998,78.199997,2.3,14.95,23,0,0,0,68629.703,239472.55,0,0,0,0,0,0,0,0,29.9,0,0,89.699997,0,54.049999,0,0,3.45,0,0,39.099998,0,0,2.3,5.75,24.15,0,0.087879516,0,0,0,0,0,0,0.82800001,0.55199999,2.829,2.9899998,2.898,3.358,0,0.23,0,0.23,4.5999999,0
sub26,Azercellim,49,M,1087,834,Xiaomi,Android OS,1,0,1,4G,BAKI,756.70001,2750.8,8324.8496,72348.797,222374.34,707014.25,109.9515,92.965996,97.669502,242.64999,1038.45,3542,22222.6,84232.898,292488.69,105.317,93.276497,94.967003,326.60001,1024.65,2726.6499,30609.551,82699.953,265300.41,107.778,92.816498,111.895,115,320.85001,815.34998,5887.9888,16160.215,31499.145,5386.7383,0,57.5,145.0265,0,57.5,146.05,0,2.3,8.0500002,0,0,0,52832.148,166932.84,0,0,0,0,0,0,0,0,8.0500002,0,0,36.799999,0,691.15002,3.45,0,144.89999,432.39999,0,886.65002,0,0,9.1999998,747.5,66.699997,0.1927824,245.98351,179.58054,0,0,0,0,0,0,0,0,0,0.068999998,0,0,0,0,0,0,0
sub27,Azercellim,59,M,1560,52,Hmd Global Oy,Proprietary,1,1,0,4G,ABSHERON,1688.2,5071.5,11218.25,297107.09,861826.13,1805342.5,202.3885,195.431,185.06949,1109.75,3147.55,6073.1499,228452.09,649040.44,1261997.4,236.739,237.12999,238.97,369.14999,1121.25,2931.3501,41716.25,117260.9,305520.5,129.9615,120.267,119.8645,59.799999,196.64999,370.29999,0,0.1265,6263.3599,0.042166665,28.876501,86.514503,177.2955,29.9,87.400002,178.25,1.15,3.45,8.0500002,0,0,0,270194.81,766327.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,3.8639998,0,0,0,0,0,0,0
sub28,Azercellim,40,M,1276,684,Samsung,Android OS,1,0,1,4G,ABSHERON,379.5,1347.8,2753.1001,49006.102,151683.84,404703.41,148.49951,129.42101,169.05,228.85001,894.70001,1850.35,35854.699,115108.1,316511.06,180.1705,147.959,196.7075,118.45,323.14999,644,11036.55,28837.4,69461.148,107.1455,102.626,124.039,46,141.45,263.35001,3321.637,15097.89,28265.85,5032.6304,29.992001,88.239502,145.7395,28.75,92,149.5,1.15,3.45,5.75,0,0,0,47069.5,144123.75,0,0,0,0,0,0,0,0,159.85001,0,0,1094.8,0,265.64999,3.45,0,262.20001,708.40002,0,340.39999,0,0,14.95,0,89.699997,0.53035343,5.2711639,0,0,0,0,0,0,0,0.78200001,0.138,0.78200001,0.138,0.78200001,0,0,0,0,0,0
sub29,Azercellim,40,M,1549,297,Samsung,Android OS,1,0,1,4G,SUMQAYIT,1599.65,5475.1499,10261.45,119834.6,370070,722929.13,86.146507,77.728493,81.017494,373.75,1198.3,2148.2,39366.801,117723.2,207992.45,121.1295,112.976,111.343,653.20001,2325.3,4488.4502,52264.051,160211.09,345342.69,92.011505,79.235001,88.481003,65.550003,225.39999,449.64999,5638.5073,16057.209,30156.703,5352.4028,29.164001,87.331001,173.58101,28.75,87.400002,173.64999,1.15,3.45,6.9000001,0,0,0,91630.852,277934.31,0,0,0,0,0,0,0,0,1236.25,0,0,2196.5,0,369.14999,0,0,1.15,70.150002,0,2866.95,0,0,13.8,62.099998,860.20001,0.64200115,0,0,0,0,0,0,0,0.27599999,0.138,0.82800001,0.138,0.82800001,0.138,0,0.115,0,0.115,0,0
